ID,title,price,state,remarke,last
3800808,ONE PIECE ワールドコレクタブルフィギュア vol.7 TV052 ロロノア・ゾロ,990円,未開封,,1点
3800924,ONE PIECE ワールドコレクタブルフィギュア vol.21 TV174 ポルチェ,660円,未開封,,1点
3800986,劇場版 ONE PIECE STAMPEDE ワールドコレクタブルフィギュア -SPECIAL- vol.1 ダグラス・バレット,"1,210円",未開封,,
3801520,ONE PIECE ワールドコレクタブルフィギュア vol.12 TV096 アーロン,770円,未開封,,1点
3801679,ONE PIECE ワールドコレクタブルフィギュア -WANOKUNI STYLE 1- モンキー・D・ルフィ,550円,未開封,,1点
4432542,ONE PIECE DXF ～THE GRANDLINE LADY～ ワノ国 vol.4 光月日和,"1,100円",未開封,,1点
4112866,ONE PIECE LADY EDGE:WEDDING -PERHONA- A (ホワイト),"1,210円",未開封,,1点
2033286,ONE PIECE LADY EDGE:WEDDING -NAMI- A (ホワイト),"1,980円",未開封,,1点
4202678,劇場版 ONE PIECE STAMPEDE ワールドコレクタブルフィギュア -SPECIAL- vol.1 トラファルガー・ロー,"1,320円",未開封,,1点
4194650,ONE PIECE LADY FIGHT!! -NAMI-,"1,100円",未開封,,
4318035,ONE PIECE GRANDLINE JOURNEY -NAMI-,"1,210円",未開封,,1点
4414845,一番くじフィギュアセレクション ワンピース EXTRA CLOSET ～Re:Members Log～ D賞 ウォーターセブン ワールドコレクタブルフィギュア ロブ・ルッチ,440円,未開封,,1点
4412863,ONE PIECE DXF ～THE GRANDLINE SERIES～ ワノ国 vol.1 光月モモの助,"1,980円",未開封,,1点
4283477,ONE PIECE Q posket -おナミ- B,660円,未開封,,1点
4240029,ONE PIECE バースデー記念缶バッジ マルコ 【東京ワンピースタワー限定】,"1,100円",未開封,,1点
2024395,劇場版 ソードアート・オンライン -オーディナル・スケール- 閃光のアスナ 【フィギュア】[アクアマリン],"6,050円",未開封,,
2393844,劇場版 ソードアート・オンライン -オーディナル・スケール- 閃光のアスナ 【フィギュア】[アクアマリン],"5,500円",未開封,箱イタミ,
4134782,ソードアート・オンライン ESPRESTO-Jewelry materials- 水着アスナ,990円,未開封,箱イタミ有,
4091004,ソードアート・オンライン ESPRESTO-Jewelry materials- 水着アスナ,"1,100円",未開封,,
4348087,ソードアート・オンライン 桐ヶ谷直葉 白スクVer. 【フィギュア】[Q-six],"8,800円",未開封,,1点
4352730,"ソードアート・オンライン アリシゼーション リミテッドプレミアムフィギュア ""アリス"" エクスクロニクルVer.","1,760円",未開封,,
4328682,ソードアート・オンライン アリシゼーション・ブレイディング アスナフィギュア アスナ(結城明日奈),"1,100円",未開封,,
4263993,劇場版 ソードアート・オンライン -オーディナル・スケール- 閃光のアスナ 【フィギュア】[アクアマリン],"5,500円",未開封,箱イタミ有,1点
4298348,ソードアート・オンライン アリシゼーション  War of Underworld ESPRESTO est-Dressy and motions- 地神テラリア リーファ,660円,未開封,箱イタミ有,
4225622,ソードアート・オンライン アリシゼーション  War of Underworld ESPRESTO est-Dressy and motions- 地神テラリア リーファ,770円,未開封,,
4210023,ソードアート・オンライン アリシゼーション War of Underworld Coreful フィギュア 明日奈～和装ver.～,990円,未開封,箱イタミ有,
4217918,ソードアート・オンライン アリシゼーション War of Underworld Coreful フィギュア 明日奈～和装ver.～,"1,100円",未開封,,
2902747,ソードアート・オンライン EXQフィギュア ～ユウキ～,880円,未開封,箱イタミ,1点
2200418,ソードアート・オンライン コード・レジスタ EXQフィギュア ～アリス～ アリス・ツーベルク,"1,100円",未開封,,
2156170,ソードアート・オンライン コード・レジスタ EXQフィギュア ～ウェディング・アスナ～,880円,未開封,,1点
2041962,ソードアート・オンライン スペシャルフィギュア -アスナ(ウンディーネ)-,770円,未開封,箱イタミ,1点
3756641,ソードアート・オンライン アリシゼーション リコリス ESPRESTO -Clear materials- アスナ 添い寝ver.,770円,未開封,箱イタミ有,1点
4146768,"ソードアート・オンライン アリシゼーション War of Underworld リミテッドプレミアムフィギュア ""シノン"" 太陽神ソルスVer.","1,320円",未開封,,1点
4160661,一番くじ ソードアート・オンライン アリシゼーション War of Underworld ～最終章～ H賞 ラバーストラップ 地神テラリア リーファ(桐ヶ谷直葉),220円,未開封,,1点
4160728,一番くじ ソードアート・オンライン アリシゼーション War of Underworld ～最終章～ H賞 ラバーストラップ ユナ,220円,未開封,,1点
4160731,一番くじ ソードアート・オンライン アリシゼーション War of Underworld ～最終章～ H賞 ラバーストラップ 太陽神ソルス シノン(朝田詩乃),330円,未開封,,1点
3220277,ソードアート・オンライン アクリルマスコット ユージオ(ユージオ・シンセシス・サーティツー),"2,750円",未開封,,1点
3912078,ソードアート・オンライン アリシゼーション リコリス ESPRESTO -Clear materials- アリス 添い寝ver.,"1,100円",未開封,,
4365454,ソードアート・オンライン メモリー・デフラグ EXQフィギュア ～フレフレLOVEチアーズ シノン～,990円,未開封,未開封ですが底面1ヶ所にテープ剥がれがあります,1点
4371662,一番くじ ソードアート・オンライン アリシゼーション War of Underworld ～最終章～ F賞 アクリルスタンド 地神テラリア リーファ(桐ヶ谷直葉),440円,未開封,,
4371667,一番くじ ソードアート・オンライン アリシゼーション War of Underworld ～最終章～ F賞 アクリルスタンド 太陽神ソルス シノン(朝田詩乃),440円,未開封,,1点
4375495,ソードアート・オンライン アクリルマスコット キリト(桐ヶ谷和人),"2,420円",未開封,,1点
